Comment,Designator,Footprint,LCSC
RSR030N06TL,Q1,SOT95P280X100-3N,C126317
MCP4725xxx-xCH,U7,SOT-23-6,C144198
MCP73812T-420I-OT,U1,SOT-23-5,C144308
10nF,C9,C_0402_1005Metric,C15195
1nF,"C1,C13",C_0402_1005Metric,C1523
0.1uF,C5,C_0402_1005Metric,C1525
220pF,C10,C_0402_1005Metric,C1530
22nF,C6,C_0402_1005Metric,C1532
100pF,C7,C_0402_1005Metric,C1546
Conn_01x02_Pin,J1,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,C189893
100,R42,R_0402_1005Metric,C193680
4.7uF,"C14,C15",C_0603_1608Metric,C19666
TPS613222ADBV,U9,SOT-23-5,C2071163
0.02,R33,R_0603_1608Metric,C2088537
100,R39,R_0402_1005Metric,C25077
330,"R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R4,R5,R6,R7,R8,R9",R_0402_1005Metric,C25104
100k,"R1,R2,R30,R45,R46,R50",R_0402_1005Metric,C25741
499k,R51,R_0402_1005Metric,C25793
453k,R49,R_0402_1005Metric,C27009
2SK3072-TB-E,Q3,SOT-23,C3282238
2k,R41,R_0402_1005Metric,C336808
68nF,"C11,C12",C_1206_3216Metric,C338040
130k(100kHz),R28,R_0402_1005Metric,C409851
6.8k,R31,R_0402_1005Metric,C409870
16k,R36,R_0402_1005Metric,C409889
2k,R3,R_0402_1005Metric,C4109
30k,R44,R_0402_1005Metric,C413010
22,"R32,R34,R48",R_0402_1005Metric,C413049
240k,R29,R_0402_1005Metric,C413113
1M,"R35,R43",R_0402_1005Metric,C413126
ATB322515-0110-T000,T1,ATB3225150110T000,C415291
"TLP188_TPL,E","IC1,IC10,IC11,IC12,IC13,IC14,IC15,IC16,IC17,IC18,IC19,IC2,IC20,IC21,IC22,IC23,IC24,IC3,IC4,IC5,IC6,IC7,IC8,IC9",SOP254P700X220-4N,C4153840
1uH,L2,L_1008_2520Metric,C435392
1k,R40,R_0402_1005Metric,C445575
10k,"R37,R38",R_0402_1005Metric,C509311
RF081MM2STR,D1,RF081MM2STR,C509966
XPS62A01DRLR,U8,SOT-563,C5157937
74AHCT595,"U3,U4,U5",SOP65P640X110-16N,C554707
Conn_01x07_Pin,"J11,J12,J13,J2,J3,J4,J5,J6,J7",Molex_200528-0070_1x07-1MP_P1.00mm_Horizontal,C6369987
4.7uH,L1,L_1008_2520Metric,C668313
LT3757AEMSE,U6,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,C671465
120pF,C16,C_0402_1005Metric,C695379
SI3590DV-T1-GE3,Q6,SOT95P284X110-6N,C727549
47uF,"C17,C18,C2,C3,C4,C8",C_1206_3216Metric,C76659
LT1013DS8#TRPBF,IC25,SOIC127P599X175-8N,C80103
MMBTA92LT1G,"Q2,Q4,Q5",SOT96P237X111-3N,C82049
NSVR1020MW2T1G,D2,SOD2512X110N,C893984
SeeeduinoXIAO_onlyPinHeader,U2,XIAO-nRF52840-Sense-14P-2.54-21X17.8MM)_onlyPins,
Conn_01x04_Pin,J10,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x04_Pin,J8,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x04_Pin,J9,PinHeader_1x04_P2.54mm_Vertical,
Jumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
Jumper_2_Open,JP3,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
Jumper_3_Open,JP2,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm_NumberLabels,
